Date,Value
2001-01-02,114.73
2001-01-03,114.26
2001-01-04,115.47
2001-01-05,116.19
2001-01-08,115.97
2001-01-09,116.64
2001-01-10,116.26
2001-01-11,117.56
2001-01-12,117.76
2001-01-16,117.28
2001-01-17,118.35
2001-01-18,117.78
2001-01-19,117.23
2001-01-22,116.62
2001-01-23,116.95
2001-01-24,118.18
2001-01-25,116.91
2001-01-26,117.16
2001-01-29,116.67
2001-01-30,115.75
2001-01-31,116.39
2001-02-01,115.33
2001-02-02,115.65
2001-02-05,114.99
2001-02-06,114.88
2001-02-07,116.21
2001-02-08,116.3
2001-02-09,117.57
2001-02-12,117.62
2001-02-13,117.3
2001-02-14,116.65
2001-02-15,115.67
2001-02-16,115.46
2001-02-20,115.57
2001-02-21,116.45
2001-02-22,116.53
2001-02-23,116.15
2001-02-26,116.63
2001-02-27,116.2
2001-02-28,117.28
2001-03-01,117.33
2001-03-02,119.06
2001-03-05,119.08
2001-03-06,118.87
2001-03-07,119.86
2001-03-08,119.51
2001-03-09,119.71
2001-03-12,120.63
2001-03-13,120.2
2001-03-14,120.97
2001-03-15,122.23
2001-03-16,122.85
2001-03-19,122.57
2001-03-20,122.73
2001-03-21,123.62
2001-03-22,123.84
2001-03-23,122.64
2001-03-26,122.81
2001-03-27,122.99
2001-03-28,122.62
2001-03-29,123.45
2001-03-30,125.54
2001-04-02,126.75
2001-04-03,125.41
2001-04-04,125.38
2001-04-05,124.33
2001-04-06,124.03
2001-04-09,124.85
2001-04-10,124.48
2001-04-11,124.82
2001-04-12,123.51
2001-04-13,124.15
2001-04-16,124.64
2001-04-17,123.67
2001-04-18,122.35
2001-04-19,121.87
2001-04-20,122.52
2001-04-23,121.68
2001-04-24,122.08
2001-04-25,122.21
2001-04-26,123.13
2001-04-27,123.76
2001-04-30,123.57
2001-05-01,121.92
2001-05-02,121.72
2001-05-03,121.19
2001-05-04,121.05
2001-05-07,121.34
2001-05-08,121.66
2001-05-09,122.25
2001-05-10,122.71
2001-05-11,122.5
2001-05-14,123.12
2001-05-15,123.26
2001-05-16,123.59
2001-05-17,122.68
2001-05-18,123.67
2001-05-21,122.91
2001-05-22,122.79
2001-05-23,120.39
2001-05-24,120.15
2001-05-25,120.75
2001-05-29,120.1
2001-05-30,120.27
2001-05-31,118.88
2001-06-01,119.13
2001-06-04,119.5
2001-06-05,120.27
2001-06-06,120.35
2001-06-07,119.91
2001-06-08,120.6
2001-06-11,122.02
2001-06-12,121.74
2001-06-13,121.89
2001-06-14,121.42
2001-06-15,122.97
2001-06-18,123.2
2001-06-19,122.97
2001-06-20,123.3
2001-06-21,124.4
2001-06-22,124.25
2001-06-25,124.02
2001-06-26,123.82
2001-06-27,124.25
2001-06-28,124.63
2001-06-29,124.73
2001-07-02,124.22
2001-07-03,124.48
2001-07-05,125.77
2001-07-06,125.85
2001-07-09,125.43
2001-07-10,125.53
2001-07-11,124.06
2001-07-12,124.1
2001-07-13,124.75
2001-07-16,125.44
2001-07-17,124.89
2001-07-18,124.35
2001-07-19,123.61
2001-07-20,122.85
2001-07-23,124.19
2001-07-24,124.0
2001-07-25,123.64
2001-07-26,123.83
2001-07-27,123.29
2001-07-30,125.18
2001-07-31,125.0
2001-08-01,124.87
2001-08-02,123.72
2001-08-03,123.46
2001-08-06,123.85
2001-08-07,123.83
2001-08-08,123.2
2001-08-09,123.03
2001-08-10,121.97
2001-08-13,122.46
2001-08-14,121.6
2001-08-15,119.92
2001-08-16,120.11
2001-08-17,120.37
2001-08-20,120.72
2001-08-21,119.91
2001-08-22,119.91
2001-08-23,119.84
2001-08-24,120.13
2001-08-27,120.12
2001-08-28,120.48
2001-08-29,119.79
2001-08-30,119.4
2001-08-31,118.75
2001-09-04,119.49
2001-09-05,120.76
2001-09-06,120.95
2001-09-07,120.07
2001-09-10,121.08
2001-09-12,119.53
2001-09-13,118.81
2001-09-14,117.38
2001-09-17,117.59
2001-09-18,117.32
2001-09-19,117.3
2001-09-20,115.89
2001-09-21,116.73
2001-09-24,117.52
2001-09-25,117.78
2001-09-26,117.89
2001-09-27,119.69
2001-09-28,119.23
2001-10-01,120.27
2001-10-02,120.78
2001-10-03,120.67
2001-10-04,120.63
2001-10-05,120.37
2001-10-09,120.2
2001-10-10,120.43
2001-10-11,121.57
2001-10-12,120.93
2001-10-15,120.94
2001-10-16,121.27
2001-10-17,121.05
2001-10-18,121.18
2001-10-19,121.15
2001-10-22,122.45
2001-10-23,122.83
2001-10-24,122.86
2001-10-25,122.72
2001-10-26,122.99
2001-10-29,122.08
2001-10-30,122.07
2001-10-31,122.54
2001-11-01,121.87
2001-11-02,121.68
2001-11-05,121.72
2001-11-06,121.15
2001-11-07,121.05
2001-11-08,119.98
2001-11-09,120.25
2001-11-13,121.45
2001-11-14,121.67
2001-11-15,122.4
2001-11-16,122.67
2001-11-19,123.27
2001-11-20,122.62
2001-11-21,123.19
2001-11-23,124.44
2001-11-26,124.2
2001-11-27,124.17
2001-11-28,123.29
2001-11-29,123.82
2001-11-30,123.22
2001-12-03,123.9
2001-12-04,124.28
2001-12-05,124.4
2001-12-06,124.83
2001-12-07,125.66
2001-12-10,126.27
2001-12-11,126.23
2001-12-12,126.52
2001-12-13,126.32
2001-12-14,127.24
2001-12-17,127.54
2001-12-18,127.97
2001-12-19,128.2
2001-12-20,128.55
2001-12-21,129.48
2001-12-24,129.9
2001-12-26,130.79
2001-12-27,131.47
2001-12-28,131.3
2001-12-31,131.04
2002-01-02,132.02
2002-01-03,131.76
2002-01-04,131.02
2002-01-07,130.93
2002-01-08,132.53
2002-01-09,132.62
2002-01-10,132.61
2002-01-11,132.17
2002-01-14,131.83
2002-01-15,131.14
2002-01-16,131.77
2002-01-17,132.13
2002-01-18,132.64
2002-01-22,133.98
2002-01-23,134.25
2002-01-24,134.64
2002-01-25,134.47
2002-01-28,133.43
2002-01-29,133.51
2002-01-30,132.84
2002-01-31,134.06
2002-02-01,133.77
2002-02-04,132.71
2002-02-05,133.9
2002-02-06,133.72
2002-02-07,133.49
2002-02-08,134.77
2002-02-11,133.62
2002-02-12,132.82
2002-02-13,133.23
2002-02-14,132.26
2002-02-15,132.76
2002-02-19,133.45
2002-02-20,133.76
2002-02-21,134.27
2002-02-22,133.85
2002-02-25,133.89
2002-02-26,134.35
2002-02-27,134.63
2002-02-28,133.96
2002-03-01,133.35
2002-03-04,132.2
2002-03-05,132.31
2002-03-06,130.85
2002-03-07,127.07
2002-03-08,128.21
2002-03-11,128.08
2002-03-12,128.67
2002-03-13,129.43
2002-03-14,128.94
2002-03-15,129.1
2002-03-18,131.27
2002-03-19,132.3
2002-03-20,131.6
2002-03-21,131.86
2002-03-22,132.88
2002-03-25,133.46
2002-03-26,132.78
2002-03-27,132.61
2002-03-28,132.61
2002-03-29,132.7
2002-04-01,133.32
2002-04-02,133.4
2002-04-03,132.65
2002-04-04,132.3
2002-04-05,131.73
2002-04-08,131.27
2002-04-09,131.03
2002-04-10,130.75
2002-04-11,131.55
2002-04-12,132.09
2002-04-15,131.95
2002-04-16,131.19
2002-04-17,130.7
2002-04-18,129.84
2002-04-19,130.5
2002-04-22,129.9
2002-04-23,129.89
2002-04-24,129.76
2002-04-25,128.4
2002-04-26,128.18
2002-04-29,128.13
2002-04-30,128.45
2002-05-01,127.45
2002-05-02,128.02
2002-05-03,127.21
2002-05-06,127.27
2002-05-07,127.8
2002-05-08,128.64
2002-05-09,128.36
2002-05-10,127.89
2002-05-13,127.69
2002-05-14,128.66
2002-05-15,127.92
2002-05-16,128.19
2002-05-17,126.03
2002-05-20,125.64
2002-05-21,123.83
2002-05-22,124.16
2002-05-23,124.84
2002-05-24,124.71
2002-05-28,124.38
