Date,Open,High,Low,Close,Adj Close,Volume
2006-06-01,37.200001,38.580002,37.169998,38.529999,35.477230,641300
2006-06-02,39.310001,39.389999,38.799999,39.130001,36.029694,277300
2006-06-05,40.270000,40.270000,38.099998,38.130001,35.108925,436000
2006-06-06,38.029999,38.029999,36.720001,37.009998,34.077656,663600
2006-06-07,36.310001,37.549999,35.820000,36.139999,33.276581,484100
2006-06-08,35.270000,35.380001,33.619999,35.270000,32.475513,812800
2006-06-09,35.750000,36.189999,34.860001,35.070000,32.291374,542200
2006-06-12,35.480000,35.630001,33.759998,33.779999,31.103577,584700
2006-06-13,32.660000,33.150002,31.820000,32.200001,29.648764,1580900
2006-06-14,32.849998,33.500000,32.250000,33.029999,30.413000,646800
2006-06-15,34.400002,35.049999,34.000000,34.939999,32.171665,882200
2006-06-16,35.000000,35.000000,34.299999,34.570000,31.830982,602300
2006-06-19,34.169998,34.470001,33.570000,33.599998,30.937832,366100
2006-06-20,33.910000,34.730000,33.599998,34.340000,31.619207,388500
2006-06-21,34.599998,36.040001,34.599998,35.860001,33.018768,551000
2006-06-22,36.000000,36.209999,35.169998,35.639999,32.816204,590000
2006-06-23,35.169998,36.500000,35.150002,36.279999,33.405491,467800
2006-06-26,36.619999,36.799999,36.150002,36.630001,33.727768,301500
2006-06-27,36.970001,37.049999,35.480000,35.480000,32.668884,469200
2006-06-28,35.700001,35.930000,35.000000,35.310001,32.512352,415200
2006-06-29,35.950001,37.959999,35.939999,37.959999,34.952393,588500
2006-06-30,38.700001,39.060001,38.320000,38.700001,35.633759,1069400
2006-07-03,39.400002,40.230000,39.320000,40.230000,37.042534,561200
2006-07-05,40.099998,40.459999,38.849998,39.369999,36.250671,685600
2006-07-06,39.500000,39.990002,39.040001,39.730000,36.582150,411100
2006-07-07,39.680000,39.880001,38.950001,39.029999,35.937607,500500
2006-07-10,38.389999,39.130001,38.250000,38.669998,35.606129,401400
2006-07-11,39.029999,39.759998,38.790001,39.759998,36.609768,512700
2006-07-12,40.110001,40.459999,39.369999,39.490002,36.361164,519500
2006-07-13,39.480000,39.500000,38.279999,38.330002,35.293079,647700
2006-07-14,38.900002,39.130001,38.340000,38.970001,35.882366,459500
2006-07-17,38.320000,38.669998,37.400002,37.400002,34.436764,777700
2006-07-18,37.889999,37.959999,36.430000,37.000000,34.068455,800200
2006-07-19,36.900002,38.509998,36.900002,38.439999,35.394356,515300
2006-07-20,38.209999,38.330002,36.830002,36.830002,33.911919,415200
2006-07-21,37.080002,37.299999,35.810001,35.810001,32.972744,646200
2006-07-24,35.500000,36.820000,35.189999,36.689999,33.783012,1086500
2006-07-25,36.830002,37.790001,36.419998,37.689999,34.703777,949400
2006-07-26,37.490002,38.389999,37.180000,38.360001,35.320694,361800
